,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
530,They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,11,2018,1
531,Tig,Documentary,2015-07-17,80,7.4,English,7,2015,1
532,"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,2017-11-22,108,7.5,English,11,2017,1
533,Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,10,2020,0
534,City of Joy,Documentary,2018-09-07,74,7.5,English,9,2018,1
535,Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,10,2020,1
536,Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English,4,2019,1
537,Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71,7.5,English,8,2019,1
538,Joan Didion: The Center Will Not Hold,Documentary,2017-10-27,98,7.5,English,10,2017,1
539,John Mulaney & the Sack Lunch Bunch,Variety show,2019-12-24,70,7.5,English,12,2019,1
540,Reversing Roe,Documentary,2018-09-13,99,7.5,English,9,2018,1
541,The White Helmets,Documentary,2016-09-16,40,7.5,English,9,2016,1
542,Athlete A,Documentary,2020-06-24,104,7.6,English,6,2020,1
543,Ludo,Anthology/Dark comedy,2020-11-12,149,7.6,Hindi,11,2020,0
544,Quincy,Documentary,2018-09-21,124,7.6,English,9,2018,1
545,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English,6,2019,1
546,Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,10,2019,1
547,The Bleeding Edge,Documentary,2018-07-27,100,7.6,English,7,2018,1
548,The Social Dilemma,Documentary,2020-09-09,94,7.6,English,9,2020,1
549,The Two Popes,Drama,2019-12-20,125,7.6,English,12,2019,1
550,"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,6,2015,1
551,Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,2,2020,0
552,Anima,Musical / Short,2019-06-27,15,7.7,English,6,2019,1
553,Beasts of No Nation,War drama,2015-10-16,136,7.7,English/Akan,10,2015,1
554,Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,4,2019,1
555,Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,3,2020,1
556,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English,11,2017,1
557,Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90,7.7,English,10,2016,1
558,Road to Roma,Making-of,2020-02-11,72,7.7,Spanish,2,2020,0
559,Roma,Drama,2018-12-14,135,7.7,Spanish,12,2018,0
560,If Anything Happens I Love You,Animation / Short,2020-11-20,12,7.8,English,11,2020,1
561,The Irishman,Crime drama,2019-11-27,209,7.8,English,11,2019,1
562,The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,10,2020,1
563,A Secret Love,Documentary,2020-04-29,82,7.9,English,4,2020,1
564,Icarus,Documentary,2017-08-04,120,7.9,English,8,2017,1
565,Marriage Story,Drama,2019-12-06,136,7.9,English,12,2019,1
566,The Ivory Game,Documentary,2016-11-04,112,7.9,English,11,2016,1
